$ all processes (read-only)
    PID    PPID STAT     ELAPSED COMMAND
   2603    2486 Sl+  15-18:33:14 /usr/libexec/gsd-keyboard
   2605    2486 Sl+  15-18:33:14 /usr/libexec/gsd-print-notifications
   2606    2486 Sl+  15-18:33:14 /usr/libexec/gsd-rfkill
   2608    2486 Sl+  15-18:33:14 /usr/libexec/gsd-smartcard
   2611    2486 Sl+  15-18:33:14 /usr/libexec/gsd-datetime
   2617    2486 Sl+  15-18:33:14 /usr/libexec/gsd-media-keys
   2620    2486 Sl+  15-18:33:14 /usr/libexec/gsd-screensaver-proxy
   2625    2486 Sl+  15-18:33:14 /usr/libexec/gsd-sound
   2626       1 Ssl  15-18:33:14 /usr/libexec/upowerd
   2627    2486 Sl+  15-18:33:14 /usr/libexec/gsd-a11y-settings
   2635    2486 Sl+  15-18:33:14 /usr/libexec/gsd-housekeeping
   2637    2486 Sl+  15-18:33:14 /usr/libexec/gsd-power
   2640    2510 Sl   15-18:33:14 ibus-daemon --panel disable --xim
   2746    2640 Sl   15-18:33:14 /usr/libexec/ibus-dconf
   2749       1 Sl   15-18:33:14 /usr/libexec/ibus-x11 --kill-daemon
   2753       1 Sl+  15-18:33:14 /usr/libexec/ibus-portal
   2788    2640 Sl   15-18:33:14 /usr/libexec/ibus-engine-simple
   2811       1 Sl+  15-18:33:14 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   2862       1 Sl+  15-18:33:13 /usr/libexec/gsd-printer
   2952       1 Ssl  15-18:33:10 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
   2954       1 SLsl 15-18:33:10 /home/straughter/Maestro/env/bin/python /home/straughter/Maestro/app/launch.py
   2955       1 Ssl  15-18:33:10 /usr/local/bin/ollama serve
   2964       1 Ss   15-18:33:10 /usr/sbin/kerneloops --test
   2981       1 Ss   15-18:33:10 /usr/sbin/kerneloops
   3011       2 I<   15-18:33:10 [kworker/R-wg-crypt-wg0]
   3023       2 S    15-18:33:10 [napi/wg0-0]
   3570       1 Sl   15-18:33:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 25019280ad45733f8caeb6f5ee3650b1b1244d50f8cbf1f9de186de5872c3b7a -address /run/containerd/containerd.sock
   3572       1 Sl   15-18:33:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 1e25a69a7a93e7e39cc37f03a5a4fcbf7ed2c48365757a1ac55f9987f81a15c6 -address /run/containerd/containerd.sock
   3627       1 Sl   15-18:33:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id ada1a64b74db3f7a2c9e8b8e71b5c2987138fd7c78e62811d04269436068b79d -address /run/containerd/containerd.sock
   3636       1 Sl   15-18:33:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 694ffe32fc48de9487a6c97150e54278aebfde16997caa28434ab9ecc1b80afd -address /run/containerd/containerd.sock
   3678       1 Sl   15-18:33:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5f041ea0dabf40ac8e50521a05c514c845ad20882ec009d40f7d844cb03c25b1 -address /run/containerd/containerd.sock
   3703       1 Sl   15-18:33:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 6acd9a3fb446d44008650acc0e3e2376716b976cf37aba1649d450e64eaea4f1 -address /run/containerd/containerd.sock
   3714       1 Sl   15-18:33:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 6587046c6d37a1941d1328124cb5bb4ef25d3c1fe00e312d09f9692e6fbcdffa -address /run/containerd/containerd.sock
   3797    3572 Ssl  15-18:33:09 searxng
   3798    3570 Ssl  15-18:33:09 redis-server 0.0.0.0:6379
   3813    3678 Ss   15-18:33:09 postgres
   3814    3636 Ss   15-18:33:09 /bin/bash /assets/init-container
   3815    3714 Ss   15-18:33:09 postgres
   3832    3703 Ssl  15-18:33:09 npm start
   3841    3627 Ssl  15-18:33:09 /opt/erlang/lib/erlang/erts-14.2.5.12/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /opt/erlang/lib/erlang -bindir /opt/erlang/lib/erlang/erts-14.2.5.12/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
   3965    2952 Sl   15-18:33:09 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 18080 -container-ip 172.18.0.2 -container-port 8080 -use-listen-fd
   4018    2952 Sl   15-18:33:09 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 5432 -container-ip 172.17.0.2 -container-port 5432 -use-listen-fd
   4025    2952 Sl   15-18:33:09 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 5432 -container-ip 172.17.0.2 -container-port 5432 -use-listen-fd
   4463    3841 Ss   15-18:33:09 erl_child_setup 1024
   4620    3813 Ss   15-18:33:09 postgres: checkpointer 
   4621    3813 Ss   15-18:33:09 postgres: background writer 
   4681    3815 Ss   15-18:33:09 postgres: checkpointer 
   4683    3815 Ss   15-18:33:09 postgres: background writer 
   5039    3832 S    15-18:33:09 sh -c node dist/api.js
   5045    5039 Sl   15-18:33:09 node dist/api.js
   5287    4463 Ss   15-18:33:09 sh -s disksup
   5302    4463 Ss   15-18:33:09 /opt/erlang/lib/erlang/lib/os_mon-2.9.1/priv/bin/memsup
   5305    4463 Ss   15-18:33:09 /opt/erlang/lib/erlang/lib/os_mon-2.9.1/priv/bin/cpu_sup
   5320    3815 Ss   15-18:33:09 postgres: walwriter 
   5321    3815 Ss   15-18:33:09 postgres: autovacuum launcher 
   5323    3815 Ss   15-18:33:09 postgres: pg_cron launcher 
   5324    3815 Ss   15-18:33:09 postgres: logical replication launcher 
   5355    3813 Ss   15-18:33:08 postgres: walwriter 
   5356    3813 Ss   15-18:33:08 postgres: autovacuum launcher 
   5357    3813 Ss   15-18:33:08 postgres: logical replication launcher 
   5358    3797 S    15-18:33:08 /usr/local/searxng/.venv/bin/python3 -c from multiprocessing.resource_tracker import main;main(7)
   5359    3797 Sl   15-18:33:08 searxng worker-1
